FID,SHAPE,NAME,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.538906,POINT (16.417041011235973 48.22253216823118),Auslaufbrunnen,538906,
TRINKBRUNNENOGD.538907,POINT (16.383724145523377 48.18009003007778),Auslaufbrunnen,538907,
TRINKBRUNNENOGD.538908,POINT (16.470289847683034 48.19108562431149),Auslaufbrunnen,538908,
TRINKBRUNNENOGD.538909,POINT (16.33334566671437 48.21434714570138),Auslaufbrunnen,538909,
TRINKBRUNNENOGD.538910,POINT (16.43312168799487 48.20587321611565),Auslaufbrunnen,538910,
TRINKBRUNNENOGD.538911,POINT (16.430102239473307 48.20798789920941),Auslaufbrunnen,538911,
TRINKBRUNNENOGD.538912,POINT (16.402800386798706 48.233508764480966),Auslaufbrunnen,538912,
TRINKBRUNNENOGD.538913,POINT (16.38307638193734 48.17905701611523),Auslaufbrunnen,538913,
TRINKBRUNNENOGD.538914,POINT (16.413878912258127 48.219703450103694),Auslaufbrunnen,538914,
TRINKBRUNNENOGD.538915,POINT (16.405307753544548 48.230994148619104),Auslaufbrunnen,538915,
TRINKBRUNNENOGD.538916,POINT (16.411581547722285 48.22152825876227),Auslaufbrunnen,538916,
TRINKBRUNNENOGD.538917,POINT (16.335905072586495 48.210496611228),Auslaufbrunnen,538917,
TRINKBRUNNENOGD.538918,POINT (16.403038237645866 48.22810692777952),Auslaufbrunnen,538918,
TRINKBRUNNENOGD.538919,POINT (16.381238613636032 48.17832503748819),Auslaufbrunnen,538919,
TRINKBRUNNENOGD.538920,POINT (16.351974083668342 48.19391421864861),Auslaufbrunnen,538920,
TRINKBRUNNENOGD.538921,POINT (16.349449252695432 48.22440062418192),Auslaufbrunnen,538921,
TRINKBRUNNENOGD.538922,POINT (16.394650256427234 48.3001589838054),Auslaufbrunnen,538922,
TRINKBRUNNENOGD.538923,POINT (16.402282094038974 48.30865278426078),Auslaufbrunnen,538923,
TRINKBRUNNENOGD.538924,POINT (16.265747109820268 48.2212406477316),Auslaufbrunnen,538924,
TRINKBRUNNENOGD.538925,POINT (16.25542680011075 48.17852208385893),Auslaufbrunnen,538925,
TRINKBRUNNENOGD.538926,POINT (16.350272273529765 48.28186134697879),Auslaufbrunnen,538926,
TRINKBRUNNENOGD.538927,POINT (16.372427417859342 48.246646505353816),Auslaufbrunnen,538927,
TRINKBRUNNENOGD.538928,POINT (16.39916043449316 48.25640244653281),Auslaufbrunnen,538928,
TRINKBRUNNENOGD.538929,POINT (16.436466716594925 48.18863270774263),Auslaufbrunnen,538929,
TRINKBRUNNENOGD.538930,POINT (16.46855543819484 48.15978685437469),Auslaufbrunnen,538930,
TRINKBRUNNENOGD.538931,POINT (16.354327799498172 48.2772022402812),Auslaufbrunnen,538931,
TRINKBRUNNENOGD.538932,POINT (16.352803341423854 48.27953030086507),Auslaufbrunnen,538932,
TRINKBRUNNENOGD.538933,POINT (16.336601741224182 48.27519482864341),Auslaufbrunnen,538933,
TRINKBRUNNENOGD.538934,POINT (16.27023645769188 48.24440890349488),Auslaufbrunnen,538934,
TRINKBRUNNENOGD.538935,POINT (16.25297557721637 48.19830933923793),Auslaufbrunnen,538935,
TRINKBRUNNENOGD.538936,POINT (16.434176422765997 48.2433029714938),Auslaufbrunnen,538936,
TRINKBRUNNENOGD.538937,POINT (16.470801576703867 48.208411773691864),Auslaufbrunnen,538937,
TRINKBRUNNENOGD.538938,POINT (16.32787703978656 48.21567705450714),Auslaufbrunnen,538938,
TRINKBRUNNENOGD.538939,POINT (16.383833042586936 48.30272772009335),Auslaufbrunnen,538939,
TRINKBRUNNENOGD.538940,POINT (16.285674711019475 48.21733101618896),Auslaufbrunnen,538940,
TRINKBRUNNENOGD.538941,POINT (16.35955271316954 48.210971106503024),Auslaufbrunnen,538941,
TRINKBRUNNENOGD.538942,POINT (16.42210003959612 48.24435442705353),Auslaufbrunnen,538942,
TRINKBRUNNENOGD.538943,POINT (16.364757163224102 48.21412920217817),Auslaufbrunnen,538943,
TRINKBRUNNENOGD.538944,POINT (16.372943384847922 48.25554360397768),Auslaufbrunnen,538944,
TRINKBRUNNENOGD.538945,POINT (16.493995211472264 48.22567538946415),Auslaufbrunnen,538945,
TRINKBRUNNENOGD.538946,POINT (16.397997815955137 48.21695786678992),Auslaufbrunnen,538946,
TRINKBRUNNENOGD.538947,POINT (16.29104903219505 48.159217617367176),Auslaufbrunnen,538947,
TRINKBRUNNENOGD.538948,POINT (16.322788815110812 48.197308964566695),Auslaufbrunnen,538948,
TRINKBRUNNENOGD.538949,POINT (16.324752739901406 48.19729531495355),Auslaufbrunnen,538949,
TRINKBRUNNENOGD.538950,POINT (16.32078682137658 48.19792061936959),Auslaufbrunnen,538950,
TRINKBRUNNENOGD.538951,POINT (16.344610387439165 48.22567489138332),Auslaufbrunnen,538951,
TRINKBRUNNENOGD.538952,POINT (16.40970019618057 48.196762042845656),Auslaufbrunnen,538952,
TRINKBRUNNENOGD.538953,POINT (16.40970019618057 48.196762042845656),Auslaufbrunnen,538953,
TRINKBRUNNENOGD.538954,POINT (16.3974065543003 48.136942360232105),Auslaufbrunnen,538954,
TRINKBRUNNENOGD.538955,POINT (16.268874013141662 48.245233233514874),Auslaufbrunnen,538955,
TRINKBRUNNENOGD.538956,POINT (16.364827552425584 48.21411944767918),Auslaufbrunnen,538956,
TRINKBRUNNENOGD.538957,POINT (16.358413231008907 48.20926605081602),Auslaufbrunnen,538957,
TRINKBRUNNENOGD.538958,POINT (16.33892376149792 48.21167405781227),Auslaufbrunnen,538958,
TRINKBRUNNENOGD.538959,POINT (16.414913375035844 48.24363445896519),Auslaufbrunnen,538959,
TRINKBRUNNENOGD.538960,POINT (16.411154072419727 48.16932868004814),Auslaufbrunnen,538960,
TRINKBRUNNENOGD.538961,POINT (16.253155672046386 48.198470471688715),Auslaufbrunnen,538961,
TRINKBRUNNENOGD.538962,POINT (16.45054908161278 48.21316356486897),Auslaufbrunnen,538962,
TRINKBRUNNENOGD.538963,POINT (16.19664960780091 48.22937672134268),Auslaufbrunnen,538963,
TRINKBRUNNENOGD.538964,POINT (16.44349244667321 48.19876117242448),Auslaufbrunnen,538964,
